time,body,x,y,z,vx,vy,vz,ax,ay,az,distance_from_earth,distance_from_moon,speed,mission_phase,event_flag
0,earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,0.0,Earth Orbit,
0,moon,384399.8946,215.9725,0.0,-0.000151,0.16179,0.0,-1.26e-06,0.00129591,0.0,384399.9553,0.0,0.161791,Earth Orbit,
0,spacecraft,2823.4761,4035.5477,0.0,-1.435398,-0.196661,0.0,-0.00072967,-0.00057012,0.0,4925.2068,381597.8633,1.448808,Earth Orbit,Launch
60,earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,0.0,Earth Orbit,
60,moon,384399.8856,225.6799,0.0,-0.000226,0.239545,0.0,-1.89e-06,0.00189452,0.0,384399.9518,0.0,0.239545,Earth Orbit,
60,spacecraft,2811.0541,4035.242,0.0,-1.445367,-0.201035,0.0,-0.00072871,-0.00057494,0.0,4917.8454,381609.6317,1.45928,Earth Orbit,
120,earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,0.0,Earth Orbit,
120,moon,384399.8674,244.7178,0.0,-0.000378,0.389133,0.0,-2.54e-06,0.00237674,0.0,384399.9453,0.0,0.389133,Earth Orbit,
120,spacecraft,2786.2659,4034.5863,0.0,-1.465097,-0.209787,0.0,-0.00072665,-0.00058449,0.0,4903.179,381633.7623,1.480041,Earth Orbit,
180,earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,0.0,Earth Orbit,
180,moon,384399.8402,272.3758,0.0,-0.000531,0.524754,0.0,-2.56e-06,0.00211542,0.0,384399.9367,0.0,0.524754,Earth Orbit,
180,spacecraft,2749.2231,4033.4924,0.0,-1.494182,-0.222927,0.0,-0.00072327,-0.00059862,0.0,4881.3204,381670.1429,1.51072,Earth Orbit,
240,earth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384400.0,0.0,Earth Orbit,
